Customer_ID,Name,Gender,Age,City,Purchase_Amount,Purchase_Date,Age_Group
C0044,Rohan,Male,30.0,Pune,13685.15,2025-06-04,Adult
C0045,Ananya,Male,26.0,Hyderabad,4252.31,2025-03-14,Adult
C0046,Priya,Female,29.0,Hyderabad,10106.57,2025-04-17,Adult
C0047,Kavya,Male,64.0,Kolkata,5019.81,2025-05-26,Senior
C0048,Priya,Male,41.3374613003096,Bangalore,8040.99,2025-05-16,Senior
C0049,Rohan,Female,47.0,Hyderabad,8427.3,2025-06-28,Senior
C0050,Aditya,Male,45.0,Hyderabad,3180.39,2025-12-02,Senior
C0051,Rohan,Male,23.0,Hyderabad,14558.98,2025-12-02,Young
C0052,Aarav,Female,31.0,Pune,11739.43,2025-09-30,Adult
C0053,Diya,Male,57.0,,14122.73,2025-05-07,Senior
C0054,Vivaan,Female,53.0,Mumbai,13475.0,2025-09-16,Senior
C0055,Vivaan,Male,36.0,Hyderabad,9169.55,2025-06-28,Adult
C0056,Aditya,Male,23.0,Bangalore,7799.55,2025-08-09,Young
C0057,Sneha,Male,41.3374613003096,Chennai,1783.14,2025-08-15,Senior
C0058,Rohan,Female,27.0,Chennai,3341.75,2025-01-12,Adult
C0059,Kavya,Female,38.0,Chennai,1155.8,2025-11-22,Adult
C0060,Rahul,Male,36.0,Chennai,7799.55,2025-11-27,Adult
C0061,Diya,Male,60.0,Mumbai,6135.82,2025-02-17,Senior
C0062,Kavya,Female,22.0,Chennai,4434.56,2025-10-15,Young
C0063,Diya,Male,28.0,Delhi,12516.69,2025-04-09,Adult
C0064,Rohan,Female,48.0,Chennai,5672.92,2025-10-01,Senior
C0065,Kavya,Female,53.0,Bangalore,4573.55,2025-01-29,Senior
C0066,Priya,Male,64.0,Mumbai,100000.0,2025-03-30,Senior
C0067,Rohan,Male,54.0,Kolkata,7799.55,2025-09-30,Senior
C0068,Vivaan,Female,43.0,Mumbai,12131.86,2025-10-28,Senior
C0069,Rohan,Male,64.0,Delhi,1580.98,2025-08-22,Senior
C0070,Vivaan,Female,19.0,Delhi,14809.86,2025-07-12,Young
C0071,Diya,Female,28.0,,11697.55,2025-07-21,Adult
C0072,Aarav,Female,19.0,Kolkata,3381.38,2025-09-27,Young
C0073,Diya,Male,32.0,Mumbai,580.07,2025-07-16,Adult
C0074,Aarav,Male,31.0,Mumbai,12324.19,2025-10-18,Adult
C0075,Sneha,Male,65.0,Hyderabad,10749.43,2025-07-16,Senior
C0076,Diya,Male,30.0,Kolkata,11070.6,2025-02-05,Adult
C0077,Rahul,Male,55.0,Hyderabad,11683.42,2025-12-31,Senior
C0078,Sneha,Female,33.0,Delhi,1573.65,2025-11-07,Adult
C0079,Rohan,Male,18.0,Pune,5697.75,2025-05-12,Young
C0080,Vivaan,Male,35.0,Kolkata,2180.1,2025-11-08,Adult
C0081,Vivaan,Female,57.0,,13015.0,2025-03-20,Senior
C0082,Vivaan,Male,53.0,Delhi,9537.82,2025-04-15,Senior
C0083,Sneha,Female,41.3374613003096,Hyderabad,5298.02,2025-11-12,Senior
C0084,Priya,Female,42.0,Hyderabad,1421.6,2025-11-21,Senior
C0085,Priya,Female,57.0,Pune,5009.24,2025-11-11,Senior
C0086,Sneha,Female,60.0,Bangalore,5215.16,2025-01-30,Senior
C0087,Priya,Male,50.0,Bangalore,11079.29,2025-12-07,Senior
C0088,Diya,Male,30.0,Pune,9744.58,2025-02-15,Adult
C0089,Aditya,Female,62.0,Hyderabad,13364.58,2025-08-21,Senior
C0090,Priya,Male,63.0,Pune,7347.12,2025-02-16,Senior
C0091,Aarav,Male,30.0,Delhi,2234.12,2025-04-03,Adult
C0092,Kavya,Male,20.0,Chennai,10842.05,2025-11-10,Young
C0093,Rohan,Male,61.0,Chennai,11531.38,2025-10-24,Senior
C0094,Priya,Male,26.0,Chennai,8638.52,2025-03-21,Adult
C0095,Sneha,Female,41.3374613003096,Chennai,11679.02,2025-02-25,Senior
C0096,Diya,Male,58.0,Bangalore,7660.04,2025-01-05,Senior
C0097,Ananya,Female,49.0,Kolkata,8079.63,2025-07-06,Senior
C0098,Kavya,Female,55.0,Pune,7799.55,2025-09-14,Senior
C0099,Kavya,Female,63.0,Delhi,868.58,2025-07-04,Senior
C0100,Rahul,Male,33.0,Bangalore,2064.43,2025-12-09,Adult
C0101,Kavya,Female,20.0,Kolkata,955.72,2025-01-07,Young
C0102,Kavya,Male,31.0,Chennai,9727.95,2025-12-19,Adult
C0103,Vivaan,Female,42.0,Kolkata,5058.16,2025-05-20,Senior
C0104,Sneha,Female,61.0,Pune,7874.28,2025-04-20,Senior
C0105,Rohan,Male,41.3374613003096,Chennai,13659.71,2025-06-01,Senior
C0106,Rahul,Male,49.0,Chennai,4114.74,2025-02-03,Senior
C0107,Kavya,Female,53.0,Hyderabad,6450.55,2025-01-30,Senior
C0108,Aditya,Male,29.0,Bangalore,11455.49,2025-10-18,Adult
C0109,Priya,Male,54.0,Kolkata,3817.57,2025-03-12,Senior
C0110,Vivaan,Male,30.0,Pune,7799.55,2025-11-03,Adult
C0111,Kavya,Female,36.0,Chennai,4701.4,2025-02-16,Adult
C0112,Kavya,Male,36.0,Kolkata,2837.71,2025-07-15,Adult
C0113,Rohan,Female,61.0,Chennai,13980.62,2025-03-18,Senior
C0114,Rahul,Male,20.0,Kolkata,12217.75,2025-02-05,Young
C0115,Rahul,Female,28.0,Bangalore,9684.35,2025-09-08,Adult
C0116,Ananya,Male,48.0,Pune,13136.18,2025-06-20,Senior
C0117,Priya,Female,23.0,Hyderabad,12153.25,2025-08-26,Young
C0118,Rohan,Female,56.0,Bangalore,3205.27,2025-07-22,Senior
C0119,Priya,Male,57.0,Hyderabad,13442.11,2025-05-06,Senior
C0120,Aditya,Male,55.0,Hyderabad,8320.46,2025-09-21,Senior
C0121,Diya,Female,56.0,Mumbai,12207.88,2025-07-29,Senior
C0122,Sneha,Female,56.0,Hyderabad,13493.32,2025-12-07,Senior
C0123,Vivaan,Male,28.0,,5111.05,2025-06-27,Adult
C0124,Kavya,Female,37.0,Pune,2095.75,2025-06-11,Adult
C0125,Ananya,Male,31.0,Mumbai,3805.06,2025-04-03,Adult
C0126,Diya,Female,47.0,Mumbai,6693.06,2025-06-11,Senior
C0127,Sneha,Male,45.0,Bangalore,12361.21,2025-01-15,Senior
C0128,Ananya,Male,41.3374613003096,Kolkata,12980.59,2025-12-29,Senior
C0129,Aarav,Male,63.0,Hyderabad,600.81,2025-08-01,Senior
C0130,Kavya,Female,49.0,Mumbai,7799.55,2025-04-10,Senior
C0131,Diya,Male,35.0,Hyderabad,7799.55,2025-07-18,Adult
C0132,Vivaan,Male,25.0,Chennai,3720.56,2025-09-20,Adult
C0133,Kavya,Female,20.0,Hyderabad,2238.05,2025-09-28,Young
C0134,Rohan,Male,41.3374613003096,Mumbai,5395.42,2025-11-21,Senior
C0135,Aarav,Female,59.0,Delhi,14172.19,2025-01-03,Senior
C0136,Priya,Male,34.0,Bangalore,7799.55,2025-07-20,Adult
C0137,Aarav,Female,22.0,Mumbai,8022.46,2025-10-21,Young
C0138,Kavya,Male,62.0,Chennai,10693.77,2025-12-25,Senior
C0139,Priya,Female,50.0,Mumbai,5772.63,2025-01-07,Senior
C0140,Rohan,Male,59.0,,14590.84,2025-07-24,Senior
C0141,Kavya,Male,35.0,Bangalore,14455.49,2025-07-21,Adult
C0142,Kavya,Male,21.0,Bangalore,4150.84,2025-09-24,Young
C0143,Ananya,Female,50.0,Chennai,7710.1,2025-04-02,Senior
C0144,Vivaan,Male,48.0,Delhi,4862.74,2025-05-21,Senior
C0145,Diya,Female,53.0,Delhi,4630.19,2025-01-10,Senior
C0146,Aarav,Male,22.0,Kolkata,1034.86,2025-11-14,Young
C0147,Sneha,Male,56.0,Hyderabad,9338.68,2025-04-25,Senior
C0148,Ananya,Female,41.3374613003096,Kolkata,7788.85,2025-01-06,Senior
C0149,Aditya,Female,51.0,Kolkata,1246.44,2025-05-09,Senior
C0150,Kavya,Female,40.0,Hyderabad,4540.37,2025-02-19,Senior
C0151,Ananya,Male,56.0,,13669.86,2025-04-04,Senior
C0152,Rohan,Female,22.0,Delhi,3973.65,2025-07-24,Young
C0153,Rohan,Female,28.0,Pune,2600.98,2025-10-10,Adult
C0154,Diya,Male,53.0,Bangalore,100000.0,2025-07-02,Senior
C0155,Priya,Female,41.3374613003096,Kolkata,14791.93,2025-03-22,Senior
C0156,Diya,Male,34.0,Bangalore,4009.8,2025-02-27,Adult
C0157,Kavya,Female,61.0,Bangalore,10245.97,2025-05-03,Senior
C0158,Rohan,Male,19.0,Mumbai,7799.55,2025-01-27,Young
C0159,Priya,Female,63.0,Mumbai,3945.74,2025-01-14,Senior
C0160,Ananya,Male,62.0,Bangalore,11059.14,2025-04-05,Senior
C0161,Priya,Female,37.0,Kolkata,5832.86,2025-10-29,Adult
C0162,Ananya,Female,44.0,Mumbai,9668.43,2025-04-28,Senior
C0163,Aditya,Female,18.0,Bangalore,9686.18,2025-11-20,Young
C0164,Rahul,Male,27.0,Bangalore,8268.73,2025-12-27,Adult
C0165,Priya,Male,65.0,Delhi,1809.2,2025-03-12,Senior
C0166,Rohan,Female,35.0,Chennai,12611.89,2025-11-04,Adult
C0167,Ananya,Female,39.0,Bangalore,5151.31,2025-01-11,Adult
C0168,Sneha,Male,35.0,Chennai,3204.52,2025-05-02,Adult
C0169,Aditya,Male,54.0,Pune,1091.24,2025-04-17,Senior
C0170,Kavya,Female,58.0,Chennai,9067.95,2025-11-26,Senior
C0171,Vivaan,Male,50.0,Chennai,10324.68,2025-02-23,Senior
C0172,Kavya,Male,33.0,Kolkata,740.52,2025-05-04,Adult
C0173,Sneha,Female,19.0,Pune,7925.35,2025-05-25,Young
C0174,Diya,Male,34.0,Pune,3784.19,2025-05-01,Adult
C0175,Rohan,Female,22.0,Hyderabad,9855.01,2025-08-20,Young
C0176,Rahul,Male,48.0,Delhi,7799.55,2025-04-26,Senior
C0177,Ananya,Female,41.3374613003096,Hyderabad,10518.6,2025-02-03,Senior
C0178,Ananya,Male,27.0,Bangalore,6107.66,2025-08-12,Adult
C0179,Aarav,Male,65.0,Chennai,14082.58,2025-07-07,Senior
C0180,Vivaan,Female,41.3374613003096,Mumbai,2494.05,2025-08-30,Senior
C0181,Vivaan,Male,25.0,Bangalore,5445.46,2025-07-15,Adult
C0182,Ananya,Female,41.3374613003096,Kolkata,2145.37,2025-06-30,Senior
C0183,Rahul,Male,29.0,Hyderabad,13908.06,2025-05-05,Adult
C0184,Ananya,Female,52.0,Chennai,13221.42,2025-11-16,Senior
C0185,Kavya,Female,37.0,Kolkata,4240.15,2025-10-11,Adult
C0186,Sneha,Male,19.0,Bangalore,7799.55,2025-07-23,Young
C0187,Aditya,Male,44.0,,12349.72,2025-09-12,Senior
C0188,Priya,Male,28.0,Mumbai,8550.41,2025-06-06,Adult
C0189,Aarav,Female,38.0,Bangalore,8179.93,2025-01-17,Adult
C0190,Rahul,Female,41.3374613003096,Mumbai,4006.86,2025-08-13,Senior
C0191,Vivaan,Male,56.0,Hyderabad,1849.99,2025-11-22,Senior
C0192,Kavya,Male,58.0,Hyderabad,13509.63,2025-09-13,Senior
C0193,Priya,Male,18.0,,13556.06,2025-12-15,Young
C0194,Ananya,Male,22.0,Pune,9679.97,2025-02-10,Young
C0195,Vivaan,Female,47.0,Kolkata,5415.93,2025-03-08,Senior
C0196,Priya,Female,40.0,Chennai,5563.54,2025-05-04,Senior
C0197,Aarav,Male,38.0,Hyderabad,100000.0,2025-04-28,Adult
C0198,Priya,Male,36.0,Hyderabad,13508.1,2025-02-05,Adult
C0199,Rohan,Male,23.0,Delhi,13362.75,2025-04-17,Young
C0200,Sneha,Male,20.0,Bangalore,11808.2,2025-08-12,Young
C0201,Aarav,Female,65.0,Chennai,9809.46,2025-04-06,Senior
C0202,Sneha,Female,26.0,Hyderabad,1720.03,2025-12-27,Adult
C0203,Kavya,Male,20.0,Chennai,2843.62,2025-12-20,Young
C0204,Priya,Male,59.0,Chennai,13529.04,2025-04-21,Senior
C0205,Rohan,Male,62.0,Pune,9293.22,2025-05-18,Senior
C0206,Diya,Female,23.0,Pune,633.36,2025-05-04,Young
C0207,Vivaan,Male,48.0,Chennai,1971.34,2025-06-09,Senior
C0208,Rohan,Female,19.0,Hyderabad,10120.78,2025-09-19,Young
C0209,Kavya,Female,19.0,Chennai,573.39,2025-11-07,Young
C0210,Diya,Male,48.0,Mumbai,2831.72,2025-05-21,Senior
C0211,Sneha,Female,24.0,Kolkata,7799.55,2025-06-07,Young
C0212,Aditya,Female,44.0,Hyderabad,10532.48,2025-04-06,Senior
C0213,Rohan,Female,31.0,Hyderabad,9953.44,2025-05-09,Adult
C0214,Aditya,Female,57.0,Chennai,3751.9,2025-04-20,Senior
C0215,Rahul,Male,36.0,Delhi,10826.6,2025-01-10,Adult
C0216,Diya,Female,42.0,Kolkata,3940.11,2025-11-18,Senior
C0217,Vivaan,Male,42.0,Delhi,5218.3,2025-11-14,Senior
C0218,Rahul,Female,44.0,Pune,11324.13,2025-11-15,Senior
C0219,Sneha,Male,31.0,Chennai,9919.68,2025-06-07,Adult
C0220,Rohan,Female,30.0,Chennai,7799.55,2025-03-23,Adult
C0221,Priya,Female,25.0,Bangalore,10035.39,2025-03-22,Adult
C0222,Rahul,Female,50.0,Kolkata,8740.47,2025-09-13,Senior
C0223,Sneha,Female,41.0,Delhi,1858.28,2025-06-17,Senior
C0224,Aarav,Female,55.0,Delhi,5831.88,2025-05-06,Senior
C0225,Aditya,Female,27.0,Mumbai,4345.43,2025-10-09,Adult
C0226,Diya,Female,21.0,Kolkata,4037.85,2025-10-14,Young
C0227,Sneha,Male,20.0,Hyderabad,14608.65,2025-06-09,Young
C0228,Aarav,Female,46.0,Delhi,6199.92,2025-02-27,Senior
C0229,Priya,Female,23.0,Mumbai,13434.68,2025-07-11,Young
C0230,Vivaan,Male,41.3374613003096,Kolkata,9651.51,2025-02-04,Senior
C0231,Kavya,Female,29.0,Kolkata,12024.76,2025-03-06,Adult
C0232,Sneha,Male,47.0,Kolkata,7788.24,2025-04-06,Senior
C0233,Ananya,Female,21.0,Pune,8865.11,2025-03-13,Young
C0234,Ananya,Male,34.0,Delhi,7641.51,2025-01-22,Adult
C0235,Sneha,Male,48.0,Kolkata,3331.02,2025-08-15,Senior
C0236,Priya,Male,52.0,Bangalore,10975.56,2025-06-10,Senior
C0237,Rahul,Male,43.0,Kolkata,4571.2,2025-11-17,Senior
C0238,Sneha,Female,40.0,Hyderabad,852.58,2025-08-11,Senior
C0239,Rohan,Female,32.0,Bangalore,9859.35,2025-08-27,Adult
C0240,Ananya,Female,18.0,Pune,3068.1,2025-09-30,Young
C0241,Rohan,Male,21.0,Kolkata,14136.65,2025-01-12,Young
C0242,Kavya,Male,44.0,Mumbai,14331.96,2025-05-28,Senior
C0243,Rahul,Male,63.0,Chennai,13765.53,2025-08-23,Senior
C0244,Rohan,Male,41.3374613003096,,7799.55,2025-01-04,Senior
C0245,Priya,Female,39.0,Hyderabad,724.12,2025-01-17,Adult
C0246,Ananya,Male,57.0,Delhi,13960.62,2025-01-20,Senior
C0247,Kavya,Male,20.0,Delhi,6708.67,2025-04-24,Young
C0248,Diya,Female,47.0,Hyderabad,14516.49,2025-06-25,Senior
C0249,Rahul,Male,44.0,Kolkata,14472.49,2025-06-14,Senior
C0250,Aditya,Male,59.0,Hyderabad,12868.64,2025-10-20,Senior
C0251,Sneha,Male,53.0,Hyderabad,4769.51,2025-07-21,Senior
C0252,Rohan,Female,41.3374613003096,Bangalore,6083.92,2025-03-15,Senior
C0253,Aarav,Male,35.0,Pune,7799.55,2025-02-21,Adult
C0254,Rohan,Female,26.0,Pune,5095.37,2025-01-06,Adult
C0255,Sneha,Male,41.3374613003096,Kolkata,2957.64,2025-01-09,Senior
C0256,Rahul,Female,41.3374613003096,Bangalore,8573.62,2025-10-01,Senior
C0257,Aditya,Male,25.0,,14074.24,2025-06-27,Adult
C0258,Ananya,Female,44.0,,10592.43,2025-01-28,Senior
C0259,Sneha,Male,44.0,Hyderabad,8765.89,2025-05-13,Senior
C0260,Ananya,Male,41.3374613003096,Hyderabad,1909.06,2025-05-06,Senior
C0261,Rohan,Male,25.0,Chennai,9417.6,2025-07-06,Adult
C0262,Vivaan,Female,60.0,Chennai,14855.78,2025-06-22,Senior
C0263,Aarav,Female,32.0,Chennai,2531.22,2025-02-08,Adult
C0264,Vivaan,Female,59.0,Mumbai,8015.78,2025-01-04,Senior
C0265,Diya,Male,58.0,Bangalore,13221.91,2025-06-04,Senior
C0266,Rahul,Female,50.0,Hyderabad,11241.14,2025-10-23,Senior
C0267,Vivaan,Male,64.0,Delhi,10606.73,2025-06-19,Senior
C0268,Priya,Female,32.0,Mumbai,10686.02,2025-04-23,Adult
C0269,Kavya,Male,54.0,Hyderabad,5712.62,2025-09-05,Senior
C0270,Diya,Male,27.0,Kolkata,4757.08,2025-09-16,Adult
C0271,Aarav,Male,27.0,Chennai,12235.74,2025-09-13,Adult
C0272,Rohan,Male,21.0,Bangalore,12246.64,2025-10-23,Young
C0273,Priya,Female,62.0,Delhi,13072.55,2025-03-14,Senior
C0274,Priya,Female,47.0,Mumbai,13741.99,2025-04-30,Senior
C0275,Sneha,Female,63.0,Mumbai,7914.46,2025-02-25,Senior
C0276,Diya,Male,20.0,,7771.99,2025-10-23,Young
C0277,Aarav,Female,28.0,Mumbai,12075.28,2025-10-18,Adult
C0278,Rahul,Female,27.0,Mumbai,9924.48,2025-01-09,Adult
C0279,Rohan,Female,27.0,Kolkata,10678.52,2025-11-13,Adult
C0280,Ananya,Female,41.3374613003096,Pune,12038.99,2025-08-03,Senior
C0281,Vivaan,Male,19.0,Mumbai,13405.08,2025-06-18,Young
C0282,Priya,Male,50.0,Hyderabad,5400.93,2025-06-26,Senior
C0283,Sneha,Male,41.3374613003096,Pune,5945.95,2025-05-08,Senior
C0284,Aditya,Female,43.0,Hyderabad,1862.74,2025-12-07,Senior
C0285,Rohan,Male,22.0,,8885.06,2025-03-23,Young
C0286,Vivaan,Male,42.0,Delhi,1021.16,2025-02-28,Senior
C0287,Rahul,Male,28.0,Bangalore,7251.17,2025-01-21,Adult
C0288,Kavya,Male,59.0,Delhi,8368.35,2025-05-05,Senior
C0289,Aarav,Male,33.0,Bangalore,7799.55,2025-11-26,Adult
C0290,Rohan,Male,47.0,,9067.08,2025-06-29,Senior
C0291,Aditya,Female,26.0,Mumbai,942.25,2025-03-03,Adult
C0292,Priya,Male,48.0,Hyderabad,1041.55,2025-03-29,Senior
C0293,Priya,Female,50.0,Delhi,12427.71,2025-10-19,Senior
C0294,Priya,Female,46.0,Hyderabad,5722.76,2025-11-24,Senior
C0295,Rahul,Male,29.0,Pune,2342.38,2025-02-08,Adult
C0296,Ananya,Male,61.0,,8072.53,2025-09-14,Senior
C0297,Priya,Female,61.0,Chennai,11664.91,2025-01-29,Senior
C0298,Rohan,Female,30.0,,3629.4,2025-05-12,Adult
C0299,Vivaan,Female,62.0,Kolkata,9531.91,2025-10-29,Senior
C0300,Ananya,Male,18.0,Hyderabad,1737.54,2025-02-14,Young
C0301,Priya,Male,40.0,Mumbai,1249.38,2025-01-18,Senior
C0302,Aditya,Male,52.0,Chennai,8204.64,2025-09-26,Senior
C0303,Rohan,Male,63.0,Pune,8339.21,2025-02-15,Senior
C0304,Priya,Female,57.0,Mumbai,9742.73,2025-08-17,Senior
C0305,Kavya,Female,59.0,Delhi,11028.32,2025-09-30,Senior
C0306,Ananya,Female,36.0,Pune,14649.86,2025-02-15,Adult
C0307,Ananya,Male,32.0,Delhi,7986.36,2025-03-28,Adult
C0308,Rahul,Female,20.0,Pune,5182.87,2025-10-25,Young
C0309,Rohan,Male,46.0,Kolkata,12030.2,2025-04-16,Senior
C0310,Aditya,Female,49.0,Kolkata,4427.07,2025-05-21,Senior
C0311,Rahul,Female,34.0,Pune,6865.09,2025-09-11,Adult
C0312,Vivaan,Male,64.0,Bangalore,1637.62,2025-05-07,Senior
C0313,Aditya,Female,61.0,Bangalore,867.59,2025-11-21,Senior
C0314,Diya,Male,53.0,Pune,14458.4,2025-11-21,Senior
C0315,Ananya,Female,41.3374613003096,Bangalore,12621.71,2025-06-26,Senior
C0316,Sneha,Male,30.0,Kolkata,10591.63,2025-10-06,Adult
C0317,Rahul,Male,58.0,,6429.82,2025-01-24,Senior
C0318,Aditya,Male,28.0,Kolkata,3012.77,2025-11-10,Adult
C0319,Rohan,Male,60.0,Delhi,2768.34,2025-03-18,Senior
C0320,Aditya,Female,50.0,Hyderabad,4128.52,2025-08-11,Senior
C0321,Priya,Female,49.0,Pune,8463.79,2025-02-16,Senior
C0322,Aditya,Male,40.0,Bangalore,10861.64,2025-06-23,Senior
C0323,Aarav,Female,45.0,Mumbai,10072.86,2025-07-26,Senior
C0324,Kavya,Male,60.0,Delhi,4559.04,2025-10-19,Senior
C0325,Priya,Male,34.0,Chennai,14345.55,2025-03-22,Adult
C0326,Rahul,Female,41.0,Pune,11199.51,2025-10-26,Senior
C0327,Diya,Male,40.0,Pune,8538.13,2025-12-01,Senior
C0328,Rohan,Male,24.0,Kolkata,9369.95,2025-07-08,Young
C0329,Aditya,Female,25.0,Delhi,6584.2,2025-09-26,Adult
C0330,Aditya,Male,33.0,Kolkata,4092.1,2025-11-11,Adult
C0331,Aarav,Female,52.0,Bangalore,5661.6,2025-04-27,Senior
C0332,Rohan,Female,20.0,Mumbai,11488.77,2025-08-13,Young
C0333,Rahul,Male,26.0,Chennai,708.71,2025-01-03,Adult
C0334,Kavya,Male,47.0,Pune,2183.05,2025-08-25,Senior
C0335,Aditya,Female,40.0,,1167.04,2025-02-21,Senior
C0336,Aarav,Male,24.0,Chennai,1090.57,2025-11-16,Young
C0337,Aarav,Male,23.0,Bangalore,12904.18,2025-02-04,Young
C0338,Vivaan,Female,27.0,Bangalore,10703.04,2025-01-21,Adult
C0339,Sneha,Female,58.0,Pune,7375.52,2025-03-04,Senior
C0340,Vivaan,Male,61.0,Kolkata,1918.6,2025-10-20,Senior
C0341,Kavya,Female,62.0,Kolkata,7628.43,2025-01-05,Senior
C0342,Ananya,Male,41.3374613003096,Hyderabad,7365.34,2025-05-29,Senior
C0343,Rohan,Female,23.0,Chennai,3011.43,2025-06-15,Young
C0344,Aditya,Female,36.0,Bangalore,6790.85,2025-10-24,Adult
C0345,Aarav,Female,51.0,Kolkata,6278.32,2025-07-20,Senior
C0346,Ananya,Male,59.0,Delhi,9429.83,2025-02-24,Senior
C0347,Rohan,Female,61.0,Pune,7799.55,2025-12-08,Senior
C0348,Rohan,Male,39.0,Bangalore,1156.91,2025-08-25,Adult
C0349,Aarav,Female,65.0,Chennai,5931.88,2025-03-03,Senior
C0350,Sneha,Male,43.0,Hyderabad,9574.97,2025-12-01,Senior
C0351,Priya,Male,56.0,Chennai,7795.48,2025-06-13,Senior
C0352,Aarav,Female,65.0,Mumbai,12919.1,2025-04-10,Senior
C0353,Aarav,Female,20.0,Hyderabad,10051.06,2025-02-02,Young
C0354,Diya,Male,65.0,Mumbai,2862.55,2025-01-26,Senior
C0355,Priya,Male,29.0,Pune,1523.25,2025-09-28,Adult
C0356,Diya,Male,48.0,Hyderabad,9815.08,2025-08-22,Senior
C0357,Aditya,Male,64.0,Delhi,884.41,2025-08-20,Senior
C0358,Aarav,Male,44.0,Pune,8993.75,2025-09-28,Senior
C0359,Kavya,Female,48.0,Chennai,14133.34,2025-12-20,Senior
C0360,Diya,Male,38.0,Chennai,8844.38,2025-09-27,Adult
C0361,Diya,Female,19.0,Hyderabad,6128.46,2025-10-10,Young
C0362,Aditya,Male,31.0,Chennai,9827.68,2025-04-24,Adult
C0363,Kavya,Male,50.0,Hyderabad,7144.67,2025-03-24,Senior
C0364,Aarav,Male,22.0,Pune,8411.44,2025-12-09,Young
C0365,Kavya,Male,64.0,Delhi,14151.24,2025-07-24,Senior
C0366,Vivaan,Female,47.0,Bangalore,6098.49,2025-05-23,Senior
C0367,Sneha,Female,63.0,Hyderabad,14437.26,2025-04-15,Senior
C0368,Aarav,Male,31.0,Hyderabad,7799.55,2025-11-12,Adult
C0369,Sneha,Female,26.0,Bangalore,3338.97,2025-05-22,Adult
C0370,Aarav,Male,43.0,Delhi,1505.74,2025-11-03,Senior
C0371,Aditya,Female,57.0,Kolkata,1961.28,2025-09-29,Senior
C0372,Aditya,Female,46.0,Pune,764.22,2025-01-02,Senior
